ra_1	dec_1	cz	ecz	zref	sigma	esigma	d4000	ra_2	dec_2	z	ez	u	g	r	i	zm	id1	id2	id3
----	-----	--	---	----	-----	------	-----	----	-----	-	--	-	-	-	-	--	---	---	---
227.744635	+05.770809	22247	4	SDSS	320	5	2.08	227.744640	5.770810	0.074213	0.000014	20.207	17.925	16.726	16.225	16.019	00	-1	-1
227.750338	+05.782786	23464	24	T13	274	5	2.00	227.750310	5.782778	0.078307	0.000014	19.339	16.823	15.713	15.261	15.026	00	-1	-1
227.735860	+05.775843	24381	24	T13	151	5	1.79	227.735830	5.775845	0.081607	0.000018	21.126	18.306	17.170	16.695	16.615	00	-1	-1
227.728122	+05.756973	24019	26	T13	160	7	1.88	227.728090	5.756968	0.080088	0.000021	20.905	19.210	18.156	17.805	17.549	00	-1	-1
227.699795	+05.757562	22705	22	T13	222	8	1.96	227.699790	5.757555	0.075800	0.000023	20.125	18.328	17.440	17.033	16.713	00	-1	-1
227.704297	+05.733846	21919	20	T13	137	7	2.01	227.704300	5.733845	0.073187	0.000023	20.816	18.358	17.446	17.029	16.738	00	-1	-1
227.748590	+05.714486	24750	29	T13	198	8	1.86	227.748590	5.714482	0.082653	0.000022	20.349	18.270	17.379	16.959	16.605	00	-1	-1
227.695122	+05.794563	22386	22	T13	127	6	2.01	227.695100	5.794564	0.074643	0.000020	20.130	18.371	17.505	17.103	16.766	00	-1	-1
227.712637	+05.800867	22296	23	T13	209	7	1.91	227.712600	5.800862	0.074377	0.000020	19.169	17.305	16.430	15.988	15.683	00	-1	-1
227.789366	+05.796049	22246	16	T13	143	7	1.81	227.789360	5.796053	0.074218	0.000021	19.860	18.194	17.329	16.955	16.660	00	-1	-1
227.676988	+05.718882	21958	21	T13	231	5	2.06	227.676990	5.718884	0.073138	0.000014	19.064	17.163	16.274	15.868	15.546	00	-1	-1
227.722525	+05.699576	24804	28	T13	153	8	1.93	227.722530	5.699573	0.082797	0.000026	20.938	18.536	17.626	17.214	16.870	00	-1	-1
227.736738	+05.676912	24439	12	T13	38	11	1.15	227.736750	5.676908	0.081486	0.000008	18.448	17.581	17.366	17.198	17.169	00	-1	-1
