RA	DEC	z	ez	zconf	ra	dec	u	g	r	i	zm	mur	gr	r50	rp	rf
--	---	-	 --	-----	--	---	-	 -	 -	 -	 --	---	--	---	--	--
3740.64987	46.7791481	0.227371	9.9102e-05	16.52	249.376653	46.779153	21.513	19.593	18.226	17.657	17.348	020.868	01.390	01.290	18.320	19.123
3740.831	46.6558	0.255475	0.000112345	15.06	249.388726	46.655795	22.299	20.352	19.004	18.443	18.144	021.463	01.367	01.191	19.088	19.813
3740.87505	46.67492	0.04877	0.00007	SDSS	249.391671	46.674905	18.371	17.281	16.923	16.700	16.665	022.324	00.378	04.076	17.278	19.288
3740.95005	46.75261	0.05773	0.00016	2MASX	249.396664	46.752612	18.530	16.795	15.933	15.475	15.119	020.580	00.884	03.103	16.126	17.769
3741.15245	46.7585183	0.227749	0.000122418	14.67	249.410160	46.758524	20.472	18.430	17.035	16.537	16.186	020.891	01.417	02.270	17.116	18.402
3741.17044	46.8198089	0.350445	0.00015344	 9.73	249.411340	46.819811	22.951	21.009	19.495	19.006	18.744	021.728	01.538	01.131	19.466	20.185
3741.34682	46.8761406	0.228362	8.8895e-05	17.73	249.423100	46.876136	20.813	19.692	18.686	18.226	18.009	021.311	01.030	01.286	18.770	19.531
3741.38501	46.5693703	0.225304	0.000107808	15.89	249.425661	46.569375	21.344	19.770	18.404	17.871	17.509	021.180	01.384	01.345	18.541	19.348
3741.49245	46.73561	0.06987	0.00019	2MASX	249.432829	46.735617	18.092	16.624	15.893	15.481	15.212	020.641	00.752	03.438	15.964	17.939
3741.7185	46.4906197	0.421912	0.000221253	 5.08	249.447917	46.490617	21.663	21.190	19.958	19.481	19.105	022.916	01.251	01.467	20.089	20.974
3741.77469	46.4863206	0.422355	0.00016875	 6.55	249.451644	46.486318	22.269	21.101	19.773	19.126	18.797	022.080	01.347	01.094	19.890	20.585
3741.82575	46.7425994	0.394867	0.000195636	 7.46	249.455046	46.742593	22.892	21.416	19.876	19.202	18.831	022.914	01.562	01.495	20.046	20.998
3741.82707	46.7827417	0.302446	6.27769e-05	12.67	249.455143	46.782737	21.169	20.068	18.877	18.463	18.036	021.338	01.214	01.171	19.000	19.702
3741.92487	46.9390106	0.192649	8.57928e-05	19.26	249.461670	46.939006	22.257	19.903	18.720	18.284	17.948	020.972	01.208	01.087	18.796	19.450
3742.01075	46.8551903	0.362067	0.000133159	11.42	249.467390	46.855195	22.945	21.021	19.267	18.568	18.166	022.394	01.777	01.627	19.342	20.372
3742.0305	46.8157006	0.371539	0.000132925	11.65	249.468700	46.815700	22.163	20.744	19.050	18.401	18.006	021.699	01.717	01.285	19.159	19.952
3742.08499	46.8434181	0.350936	0.000114146	11.48	249.472321	46.843423	21.983	20.323	18.943	18.387	17.959	021.566	01.403	01.260	19.069	19.838
3742.1635	46.8890114	0.477839	0.000162713	 7.60	249.477577	46.889009	26.113	21.336	19.637	18.961	18.550	022.907	01.722	01.713	19.743	20.801
3742.20556	46.5216408	0.227044	0.000121051	12.13	249.480372	46.521644	22.359	20.210	18.867	18.335	17.990	021.202	01.362	01.134	18.934	19.594
3742.3194	46.76911	0.05848	0.00008	SDSS	249.487924	46.769090	18.532	17.475	17.024	16.711	16.526	020.824	00.473	02.211	17.106	18.535
3742.61025	46.4267197	0.259618	0.000143766	10.51	249.507342	46.426719	21.975	20.729	19.586	19.061	18.970	021.596	01.165	00.964	19.681	20.204
3742.61565	46.9855	0.21640	0.00080	SDSS	249.507683	46.985491	19.264	18.704	18.113	17.698	17.658	020.980	00.617	01.445	18.186	18.995
3742.63644	46.4963111	0.301775	0.000172686	 7.98	249.509098	46.496308	21.931	20.133	18.703	18.203	17.946	022.208	01.450	01.858	18.868	20.014
3742.64463	47.0038794	0.191373	7.77206e-05	16.79	249.509640	47.003879	21.151	19.405	18.131	17.649	17.288	021.455	01.301	01.691	18.319	19.362
