ra_1	dec_1	cz	ecz	u	g	r	i	zm	mur	mem	dist	gl	gb	foo	rf	gr	rp
----	-----	--	---	-	-	-	-	--	---	---	----	--	--	---	--	--	--
195.02545	27.97831	007632	003	17.029	14.733	13.814	13.840	13.940		1	00.024	57.30766	87.90001				
195.00405	27.94544	006841	006	19.127	17.786	17.129	16.820	16.631		1	00.024	56.67991	87.93028				
195.01851	27.98759	006371	002	16.976	14.908	14.130	13.774	13.544		1	00.024	57.60676	87.90192				
194.99780	27.94058	006107	014	19.239	17.852	17.152	16.869	16.989		1	00.029	56.61474	87.93725				
195.03113	27.95808	006210	014	21.110	17.609	17.483	16.792	17.094		1	00.029	56.74568	87.90333				
195.03387	27.97695	006446	003	14.612	12.607	11.692	11.486	11.231		1	00.030	57.19344	87.89372				
195.04312	27.95907	006329	008	19.845	17.620	17.508	17.292	16.921		1	00.039	56.65884	87.89318				
194.98605	27.93003	007706	002	17.630	16.044	15.261	14.882	14.648		1	00.041	56.45456	87.95089				
195.02662	28.00413	007268	002	18.907	16.642	15.845	15.479	15.197		1	00.042	57.93989	87.88869				
195.02367	27.92648	007954	015	19.500	18.434	17.744	17.480	17.310		1	00.047	56.01298	87.92148				
194.94556	27.99192	008412	012	20.380	18.212	17.526	17.239	16.970		1	00.054	58.44491	87.95895				
195.02247	28.02445	005903	003	18.621	16.330	15.666	15.346	15.138		1	00.058	58.48292	87.88367				
194.93419	27.95842	006905	002	18.267	16.473	15.764	15.377	15.159		1	00.060	57.69810	87.98183				
194.93219	27.99469	006670	002	17.613	15.863	15.074	14.687	14.440		1	00.066	58.65437	87.96853				
194.98339	28.03472	008150	002	16.730	14.938	14.114	13.708	13.380		1	00.067	59.13240	87.91065				
195.07540	27.95660	006367	002	17.492	15.635	14.810	14.428	14.245		1	00.067	56.30174	87.86779				
194.95909	27.91264	007246	012	19.306	18.130	17.406	17.028	16.930		1	00.068	56.25808	87.97954				
194.91780	27.96824	007576	002	17.928	16.218	15.307	14.991	14.932		1	00.073	58.12110	87.99106				
194.91524	27.95391	008030	003	17.786	15.856	15.060	14.653	14.559		1	00.077	57.77347	87.99897				
194.92626	27.92473	006906	002	17.836	16.132	15.343	14.972	14.708		1	00.079	56.89525	88.00165				
195.07867	28.00931	006200	004	19.457	17.823	17.086	16.720	16.458		1	00.080	57.56888	87.84455				
194.93502	27.91246	006700	002	16.763	15.064	14.262	13.855	13.588		1	00.081	56.48510	87.99927				
194.90966	27.98720	006817	003	18.968	15.797	14.878	14.590	14.793		1	00.082	58.69810	87.98973				
