#ra_1	dec_1	cz	ecz	zsource	ra_2	dec_2	u	g	r	i	zm	mur	gr	r50	rp	rf
#----	-----	--	---	-------	----	-----	-	-	-	-	--	---	--	---	--	--
259.713308	26.620569	0.400237	0.000342371	MMT/Hectospec	259.713302	26.620569	21.658	20.886	20.136	19.994	19.782	023.350	00.805	01.599	20.336	21.300
259.718571	26.644934	0.158578	0.000480967	MMT/Hectospec	259.718581	26.644934	21.662	20.013	19.180	18.725	18.382	022.080	00.888	01.379	19.387	20.165
259.719717	26.702864	0.373328	0.000337	MMT/Hectospec	259.719720	26.702865	21.884	20.636	18.901	18.299	17.908	022.133	01.793	01.549	19.188	20.109
259.726667	26.565548	0.242547	9.41653e-05	MMT/Hectospec	259.726681	26.565547	21.514	19.871	18.855	18.289	17.937	022.019	01.069	01.542	19.084	19.861
259.727325	26.544941	0.326662	9.39651e-05	MMT/Hectospec	259.727319	26.544942	20.806	20.192	19.377	19.121	18.776	022.318	00.870	01.437	19.536	20.356
259.728700	26.560825	0.242357	0.000268319	MMT/Hectospec	259.728695	26.560826	23.717	21.060	19.701	19.133	18.936	022.395	01.412	01.270	19.881	20.564
259.731187	26.554123	0.327183	0.000183894	MMT/Hectospec	259.731173	26.554123	22.202	21.109	20.378	20.209	20.059	022.944	00.785	01.187	20.577	21.158
259.732817	26.646864	0.121403	0.000118315	MMT/Hectospec	259.732827	26.646864	21.477	20.876	20.413	20.194	19.815	022.819	00.518	01.106	20.605	21.186
259.738025	26.516831	0.102901	7.2617e-05	MMT/Hectospec	259.738017	26.516831	21.053	19.932	19.419	19.125	18.907	022.307	00.566	01.401	19.580	20.370
259.739112	26.738709	0.390985	0.000119149	MMT/Hectospec	259.739099	26.738707	22.081	21.314	19.935	19.755	19.232	022.840	01.439	01.387	20.135	20.899
259.740088	26.655073	0.161734	7.81875e-05	MMT/Hectospec	259.740086	26.655073	20.669	19.934	19.305	18.928	18.823	021.643	00.684	01.083	19.475	20.018
259.740142	26.657536	0.370157	0.000460553	MMT/Hectospec	259.740148	26.657537	21.985	21.108	19.998	19.599	19.289	022.745	01.165	01.267	20.236	20.909
259.741858	26.667847	0.2621	0.000196303	MMT/Hectospec	259.741867	26.667846	21.773	20.357	19.471	19.044	18.822	022.675	00.942	01.593	19.669	20.643
259.743292	26.651514	0.161036	0.000147269	MMT/Hectospec	259.743292	26.651515	20.860	19.878	19.525	19.248	18.971	023.093	00.408	01.844	19.769	20.892
259.748583	26.702412	0.374234	0.000148736	MMT/Hectospec	259.748573	26.702412	22.773	20.988	19.242	18.677	18.367	022.809	01.803	01.871	19.454	20.578
259.749154	26.660664	0.39139	0.000147836	MMT/Hectospec	259.749156	26.660665	21.684	21.066	19.828	19.455	19.072	022.290	01.293	01.158	19.976	20.581
259.750100	26.706608	0.475889	0.000193034	MMT/Hectospec	259.750106	26.706609	21.746	21.196	20.290	19.993	19.660	022.955	00.964	01.210	20.546	21.156
259.750242	26.686056	0.262119	1.00069e-05	MMT/Hectospec	259.750247	26.686055	22.950	21.353	20.170	19.691	19.245	022.843	01.240	01.265	20.338	21.034
259.750383	26.507877	0.327932	1.00069e-05	MMT/Hectospec	259.750389	26.507879	23.945	21.491	20.205	19.704	19.714	022.617	01.338	01.115	20.386	20.944
259.751875	26.693752	0.391256	1.00069e-05	MMT/Hectospec	259.751872	26.693754	19.871	19.478	18.891	18.509	18.160	021.478	00.644	01.251	18.997	19.723
259.752187	26.590956	0.104934	1.00069e-05	MMT/Hectospec	259.752185	26.590956	21.289	20.355	19.871	19.577	19.327	022.691	00.536	01.352	20.041	20.788
259.755021	26.697308	0.43536	0.000179358	MMT/Hectospec	259.755017	26.697309	23.882	21.320	19.730	19.049	18.548	022.801	01.648	01.508	19.914	20.801
259.756796	26.636949	0.519239	0.000217884	MMT/Hectospec	259.756787	26.636950	23.644	21.988	20.092	19.113	18.602	023.252	01.949	01.560	20.291	21.196
259.757079	26.514668	0.327109	0.000329162	MMT/Hectospec	259.757068	26.514668	20.566	19.729	18.628	18.239	17.890	022.593	01.152	02.272	18.816	20.246
259.761029	26.661272	0.261101	0.000123386	MMT/Hectospec	259.761029	26.661273	22.221	20.786	19.517	19.014	18.753	022.125	01.324	01.234	19.673	20.364
259.763633	26.641287	0.158951	0.000217784	MMT/Hectospec	259.763639	26.641286	23.672	20.771	19.807	19.450	19.160	022.634	01.018	01.330	20.020	20.752
259.764092	26.597166	0.325819	5.68061e-05	MMT/Hectospec	259.764092	26.597167	23.153	20.707	18.996	18.314	18.009	022.365	01.763	01.724	19.187	20.104
259.765321	26.635914	0.158283	0.00026912	MMT/Hectospec	259.765323	26.635914	21.253	20.149	19.456	19.155	19.052	022.816	00.746	01.731	19.630	20.705
259.766150	26.620031	0.255449	0.000646982	MMT/Hectospec	259.766162	26.620031	24.801	21.429	20.124	19.674	19.181	022.293	01.357	01.029	20.236	20.758
259.768067	26.670147	0.373431	0.000553317	MMT/Hectospec	259.768063	26.670148	23.973	21.797	19.926	19.376	18.865	022.336	01.926	01.171	19.998	20.555
259.768583	26.803066	0.103866	5.60055e-05	MMT/Hectospec	259.768585	26.803067	20.064	18.271	17.307	16.917	16.581	020.314	01.025	01.471	17.481	18.436
259.769296	26.670641	0.37156	7.46851e-05	MMT/Hectospec	259.769296	26.670642	25.305	21.768	20.237	19.708	19.109	023.352	01.586	01.623	20.305	21.003
259.772529	26.787191	0.0720985	0.000100069	MMT/Hectospec	259.772541	26.787191	20.208	18.889	18.428	18.130	18.108	022.280	00.522	02.131	18.642	20.009
259.776992	26.748350	0.107107	0.00011598	MMT/Hectospec	259.776997	26.748350	20.622	20.106	19.807	19.657	19.659	023.167	00.359	01.714	20.002	21.029
259.777967	26.518023	0.307556	5.71063e-05	MMT/Hectospec	259.777964	26.518023	24.918	21.644	20.118	19.627	19.376	022.449	01.575	01.081	20.285	20.802
259.781229	26.756889	0.46561	7.46518e-05	MMT/Hectospec	259.781233	26.756889	21.741	20.948	19.825	19.405	19.087	022.797	01.183	01.405	20.064	20.864
259.782000	26.541325	0.423072	5.81403e-05	MMT/Hectospec	259.782012	26.541324	26.360	21.932	20.413	19.708	19.485	023.911	01.568	01.816	20.620	21.753
259.782971	26.717709	0.263299	0.000100403	MMT/Hectospec	259.782962	26.717708	21.290	20.435	19.176	18.716	18.391	021.958	01.317	01.383	19.259	20.069
259.785921	26.457399	0.221493	5.58721e-05	MMT/Hectospec	259.785907	26.457401	21.199	20.612	20.276	20.268	20.142	022.266	00.386	00.911	20.473	20.837
259.786521	26.494509	0.504664	6.88811e-05	MMT/Hectospec	259.786531	26.494509	24.335	22.040	20.016	19.231	18.785	023.823	02.073	02.220	20.096	20.856
259.786804	26.746536	0.264009	0.000176456	MMT/Hectospec	259.786816	26.746537	20.865	19.802	18.883	18.512	18.053	021.827	00.979	01.401	19.100	19.902
259.787608	26.494606	0.16146	0.000151138	MMT/Hectospec	259.787616	26.494606	21.120	19.560	18.511	18.103	17.935	021.346	01.098	01.377	18.656	19.389
259.788437	26.647270	0.325344	0.000151138	MMT/Hectospec	259.788435	26.647270	22.733	20.627	19.012	18.491	18.174	021.390	01.668	01.114	19.161	19.761
259.789096	26.605974	0.159029	8.37581e-05	MMT/Hectospec	259.789106	26.605976	20.800	18.777	17.639	17.185	16.852	020.995	01.189	01.702	17.845	18.843
259.792183	26.567509	0.362562	0.000162279	MMT/Hectospec	259.792174	26.567507	21.885	20.678	19.630	19.231	18.738	022.036	01.098	01.137	19.762	20.287
259.796621	26.748825	0.264284	0.000151872	MMT/Hectospec	259.796624	26.748824	21.233	20.398	19.651	19.505	19.275	022.419	00.806	01.304	19.848	20.659
259.798367	26.775709	0.261471	0.000126354	MMT/Hectospec	259.798353	26.775709	22.567	21.148	20.026	19.871	19.728	023.200	01.182	01.544	20.262	21.261
259.800767	26.566292	0.158084	8.86948e-05	MMT/Hectospec	259.800753	26.566292	20.633	19.155	18.410	18.065	17.827	021.809	00.794	01.778	18.564	19.613
259.802025	26.442394	0.194149	8.34579e-05	MMT/Hectospec	259.802021	26.442394	21.916	20.929	20.400	20.100	19.908	022.866	00.579	01.144	20.579	21.159
259.803112	26.771278	0.242576	0.000173153	MMT/Hectospec	259.803107	26.771279	21.276	19.850	18.794	18.334	18.028	021.261	01.115	01.125	19.010	19.695
259.803171	26.604769	0.155661	0.000102171	MMT/Hectospec	259.803164	26.604770	20.706	19.960	19.366	19.062	18.942	022.211	00.644	01.338	19.584	20.305
259.810267	26.664204	0.243343	8.93286e-05	MMT/Hectospec	259.810275	26.664204	20.604	19.705	18.993	18.700	18.491	021.835	00.765	01.352	19.185	19.930
259.811896	26.846561	0.202331	7.11827e-05	MMT/Hectospec	259.811887	26.846561	22.847	20.507	19.427	19.028	18.721	021.743	01.137	01.042	19.659	20.297
259.813383	26.739414	0.155924	0.000227991	MMT/Hectospec	259.813375	26.739413	20.370	18.879	18.019	17.539	17.243	021.371	00.917	01.688	18.239	19.359
259.813383	26.493019	0.517119	0.000169151	MMT/Hectospec	259.813396	26.493019	21.877	21.928	20.690	20.238	19.988	023.902	01.286	01.596	20.892	21.857
259.813900	26.758898	0.487206	0.000157076	MMT/Hectospec	259.813907	26.758896	20.872	20.783	20.411	20.169	20.306	022.263	00.431	00.841	20.644	21.092
259.816762	26.741625	0.15492	0.000116581	MMT/Hectospec	259.816766	26.741625	22.030	20.707	19.846	19.325	19.199	021.631	00.918	00.843	20.007	20.518
259.819937	26.487303	0.10423	5.75733e-05	MMT/Hectospec	259.819938	26.487304	20.768	18.931	18.085	17.713	17.431	021.421	00.894	01.722	18.246	19.278
259.820137	26.563561	0.158046	9.48991e-05	MMT/Hectospec	259.820140	26.563562	21.595	20.104	19.417	19.069	18.834	022.641	00.735	01.595	19.632	20.592
259.820337	26.799114	0.318308	0.000155341	MMT/Hectospec	259.820351	26.799113	25.496	22.095	20.375	19.780	19.257	021.910	01.778	00.736	20.581	20.969
259.820679	26.607758	0.439511	6.74801e-05	MMT/Hectospec	259.820668	26.607757	23.907	21.739	20.443	19.942	19.607	023.006	01.345	01.199	20.617	21.225
259.824083	26.567259	0.158462	0.000178691	MMT/Hectospec	259.824077	26.567258	19.690	18.499	17.658	17.240	16.961	020.836	00.889	01.606	17.812	18.769
259.824513	26.592228	0.159435	6.93814e-05	MMT/Hectospec	259.824505	26.592228	22.419	20.789	19.850	19.560	19.205	022.252	00.988	01.121	20.009	20.576
259.825346	26.589272	0.159133	9.06629e-05	MMT/Hectospec	259.825334	26.589271	21.172	20.194	19.627	19.372	19.282	022.101	00.616	01.144	19.814	20.370
259.825775	26.495594	0.103948	0.000178824	MMT/Hectospec	259.825781	26.495595	21.020	19.940	19.368	19.131	18.978	022.169	00.619	01.351	19.521	20.258
259.825975	26.611522	0.105866	0.000115814	MMT/Hectospec	259.825978	26.611523	21.322	19.428	18.429	18.036	17.712	020.749	01.048	01.078	18.591	19.116
259.825975	26.683998	0.271892	0.00015881	MMT/Hectospec	259.825976	26.683996	21.104	20.881	20.120	19.842	19.558	022.976	00.814	01.335	20.354	21.026
259.826604	26.608126	0.32546	0.000151805	MMT/Hectospec	259.826591	26.608124	21.810	20.984	20.154	19.861	19.357	022.914	00.879	01.318	20.319	21.016
259.829292	26.711447	0.164656	0.000169951	MMT/Hectospec	259.829278	26.711446	22.607	20.938	19.754	19.273	18.887	022.606	01.239	01.333	19.987	20.834
259.829350	26.434753	0.194382	0.000106941	MMT/Hectospec	259.829354	26.434752	20.881	20.122	19.718	19.420	19.387	021.729	00.453	00.940	19.868	20.257
259.830379	26.476439	0.506265	0.000172853	MMT/Hectospec	259.830369	26.476439	22.756	21.555	20.280	19.565	19.199	022.721	01.322	01.164	20.396	20.986
259.831667	26.472872	0.243525	5.53717e-05	MMT/Hectospec	259.831656	26.472872	21.183	20.409	19.628	19.353	19.095	022.255	00.829	01.254	19.769	20.453
